customer_id,age,gender,income,country,signup_date,days_as_customer,subscription_type,monthly_charge,login_count,last_login,avg_session_duration,support_tickets,total_spent,churned,signup_year,signup_month,signup_day_of_week,days_since_last_login,login_frequency,spend_per_day,spend_per_login,age_group,tenure_group,engagement_score
CUST_0001,47,M,28575.0,USA,2024-06-16 18:05:53.715691,516,Basic,9.99,48,2025-09-18 18:05:53.732365,17.158892658310094,0,152.7784277753258,1,2024,6,6,57.0,0.09284332688588008,0.2955095314803207,3.117927097455629,46-55,1-2yr,0.5096942309638021
CUST_0002,37,M,21720.0,France,2021-07-01 18:05:53.715691,1597,Standard,19.99,50,2025-10-30 18:05:53.732370,15.574343482440373,0,1242.5641313608196,0,2021,7,3,15.0,0.03128911138923655,0.7775745502883727,24.364002575702344,36-45,2yr+,0.5629185820523159
CUST_0003,49,M,,USA,2021-01-05 18:05:53.715691,1774,Basic,9.99,68,2025-10-15 18:05:53.732372,7.078390582394778,0,527.0442725764937,0,2021,1,1,30.0,0.03830985915492958,0.2969263507473204,7.638322790963676,46-55,2yr+,0.6114445556785375
CUST_0004,62,M,15469.0,France,2025-01-11 18:05:53.715691,307,Premium,39.99,46,2025-11-13 18:05:53.732373,17.233925353672316,1,416.25901208640585,0,2025,1,5,1.0,0.14935064935064934,1.3514902989818371,8.856574725242677,55+,6-12mo,0.5636394849004345
CUST_0005,36,F,31764.0,Canada,2022-06-01 18:05:53.715691,1262,Standard,19.99,48,2025-11-07 18:05:53.732374,36.68000836311938,1,873.6523965997776,0,2022,6,2,7.0,0.03800475059382423,0.69172794663482,17.82964074693424,36-45,2yr+,0.6151007938107309
CUST_0006,36,M,10129.0,USA,2022-03-31 18:05:53.715691,1324,Standard,19.99,49,2025-10-26 18:05:53.732375,5.852352602735119,0,842.4500981008422,0,2022,3,3,19.0,0.0369811320754717,0.6358113947930885,16.849001962016843,36-45,2yr+,0.5292660258578267
CUST_0007,63,M,18616.0,USA,2022-02-15 18:05:53.715691,1368,Basic,9.99,43,2025-11-04 18:05:53.732375,5.712260317451386,0,413.12031121662056,0,2022,2,1,10.0,0.031409788166544925,0.30176794099095733,9.389097982195922,55+,2yr+,0.510188811739298
CUST_0008,51,F,23422.0,USA,2021-08-27 18:05:53.715691,1540,Standard,19.99,50,2025-08-12 18:05:53.732376,76.08391385494512,1,846.1819189472656,0,2021,8,4,94.0,0.03244646333549643,0.5491122121656493,16.591802332299324,46-55,2yr+,0.6247585457194269
CUST_0009,32,M,62841.0,USA,2025-01-01 18:05:53.715691,317,Premium,39.99,46,2025-09-28 18:05:53.732377,10.729402730149438,0,482.4764343251698,0,2025,1,2,47.0,0.14465408805031446,1.5172214915885842,10.265456049471698,26-35,6-12mo,0.4953027066435141
CUST_0010,48,F,51229.0,USA,2021-06-12 18:05:53.715691,1616,Basic,9.99,45,2025-09-15 18:05:53.732378,14.584329226670269,1,466.3823554432628,0,2021,6,5,60.0,0.027829313543599257,0.2884244622407315,10.138746857462234,46-55,2yr+,0.48540376464430696
CUST_0011,33,F,27530.0,Canada,2024-08-31 18:05:53.715691,440,Basic,9.99,38,2025-10-27 18:05:53.732379,18.378444158276377,0,131.70691601001718,0,2024,8,5,18.0,0.08616780045351474,0.29865513834471014,3.377100410513261,26-35,1-2yr,0.5087012820256068
CUST_0012,33,M,52297.0,Canada,2025-01-09 18:05:53.715691,309,Basic,9.99,56,2025-10-26 18:05:53.732380,6.306290160300309,0,116.53632437117884,0,2025,1,3,19.0,0.18064516129032257,0.3759236270038027,2.044496918792611,26-35,6-12mo,0.5641358095107758
CUST_0013,43,F,56603.0,Canada,2023-12-06 18:05:53.715691,709,Standard,19.99,52,2025-09-26 18:05:53.732381,40.6946545520544,2,441.0291533672838,0,2023,12,2,49.0,0.07323943661971831,0.6211678216440617,8.321304780514788,36-45,1-2yr,0.5968673479054827
CUST_0014,18,F,33512.0,Canada,2021-05-12 18:05:53.715691,1647,Standard,19.99,55,2025-10-31 18:05:53.732382,25.05200507529096,0,1158.6075658532327,0,2021,5,2,14.0,0.03337378640776699,0.703038571512884,20.689420818807726,18-25,2yr+,0.6118411970483093
CUST_0015,18,M,18175.0,France,2024-03-08 18:05:53.715691,616,Basic,9.99,47,2025-10-26 18:05:53.732383,73.45330990848366,1,211.97499888724,0,2024,3,4,19.0,0.07617504051863858,0.3435575346632739,4.416145810150833,18-25,1-2yr,0.6886298649053306
CUST_0016,31,M,32730.0,India,2023-03-29 18:05:53.715691,961,Standard,19.99,56,2025-10-23 18:05:53.732384,16.58767472337889,0,714.3222135642885,0,2023,3,2,22.0,0.058212058212058215,0.7425386835387614,12.531968659022606,26-35,2yr+,0.5864430445033779
CUST_0017,24,F,34581.0,USA,2021-01-19 18:05:53.715691,1760,Premium,39.99,36,2025-10-17 18:05:53.732384,21.57785993216807,0,2485.044260257551,0,2021,1,1,28.0,0.020442930153321975,1.4111551733432997,67.16335838533921,18-25,2yr+,0.4957405125264875
CUST_0018,44,F,19610.0,Canada,2021-01-15 18:05:53.715691,1764,Basic,9.99,44,2025-10-14 18:05:53.732385,12.03217513903652,0,560.649082918683,0,2021,1,4,31.0,0.024929178470254956,0.3176482056196504,12.458868509304066,36-45,2yr+,0.5070342909960341
CUST_0019,26,F,43631.0,USA,2021-05-25 18:05:53.715691,1634,Standard,19.99,55,2025-10-11 18:05:53.732386,7.213854266471039,0,1238.784300844324,0,2021,5,1,34.0,0.03363914373088685,0.7576662390485162,22.121148229362927,26-35,2yr+,0.5446043105922972
CUST_0020,18,M,41769.0,USA,2022-02-05 18:05:53.715691,1378,Premium,39.99,45,2025-10-28 18:05:53.732387,69.26684626620616,1,1941.9020567439727,0,2022,2,5,17.0,0.032632342277012324,1.4081958352023007,42.21526210312984,18-25,2yr+,0.6707893025261655
CUST_0021,61,F,45366.0,Germany,2022-03-06 18:05:53.715691,1349,Enterprise,99.99,40,2025-11-04 18:05:53.732390,33.16203103425788,0,4407.40074000908,0,2022,3,6,10.0,0.02962962962962963,3.2647412888956153,107.49757902461172,55+,2yr+,0.564355407206013
CUST_0022,36,M,41750.0,UK,2023-09-15 18:05:53.715691,791,Basic,9.99,61,2025-08-31 18:05:53.732391,11.266817135876074,0,249.33754660028325,0,2023,9,4,75.0,0.07702020202020202,0.31482013459631725,4.021573332262633,36-45,2yr+,0.5372372860767896
CUST_0023,41,F,,France,2024-03-31 18:05:53.715691,593,Basic,9.99,57,2025-09-23 18:05:53.732392,4.485725049683046,0,205.89358578779812,0,2024,3,6,52.0,0.09595959595959595,0.3466221982959564,3.5498894101344503,36-45,1-2yr,0.5270451832766286
